"","cult_fam","cult_house","cult_jobs","cult_trans","fam_house","fam_jobs","fam_trans","house_jobs","house_trans","jobs_trans"
"1",2,-2,2,-6,-4,-4,-8,4,-3,-8
"2",2,-4,1,-4,-4,-2,-8,4,-3,-7
"3",4,-2,1,-3,-7,-3,-5,4,-3,-6
"4",8,-4,3,-4,-8,1,-7,4,-3,-9
"5",3,-3,5,-6,-8,1,-4,4,-3,-6
"6",6,-4,2,-4,-7,-2,-4,4,-3,-6
"7",7,-5,-3,-3,-8,1,-9,4,-3,-7
"8",5,-4,3,-5,-6,-3,-8,4,-2,-7
"9",3,-3,2,-4,-6,-2,-6,4,-3,-9
"10",7,-3,3,-6,-8,-3,-5,4,-3,-8
"11",6,-4,2,-4,-7,1,-3,4,-3,-7
"12",7,-4,1,-6,-4,1,-2,4,-3,-7
"13",2,-3,2,-6,-8,-2,-7,4,-3,-6
"14",4,-3,4,-4,-8,-2,-8,4,-2,-6
"15",6,-4,2,-7,-5,-2,-9,4,-3,-6
"16",2,-2,2,-2,-8,-4,-5,4,-3,-6
"17",9,-4,3,-5,-4,-2,-6,4,-2,-6
"18",5,-3,4,-5,-7,-2,-8,4,-3,-7
"19",6,-4,3,-6,-7,-3,-7,4,-3,-7
"20",6,-2,2,-4,-8,-2,-4,3,-2,-5
"21",2,-4,2,-4,-6,-4,-7,4,-3,-6
"22",5,-3,1,-6,-5,-2,-5,4,-2,-8
"23",9,-4,-3,-5,-6,-2,-5,5,-2,-6
"24",1,-5,4,-3,-7,-2,-6,4,-3,-7
"25",5,-3,1,-5,-7,-2,-2,4,-4,-5
"26",6,-2,2,-6,-3,-2,-4,5,-3,-7
"27",6,-3,1,-5,-6,1,-5,4,-3,-8
"28",2,-3,3,-4,-7,-2,-7,4,-3,-7
"29",6,-3,4,-3,-7,-5,-4,4,-3,-8
"30",8,-3,1,-4,-7,2,-5,3,-3,-8
"31",7,-3,1,-4,-6,3,-9,4,-3,-7
"32",7,-3,1,-5,-6,-2,-7,5,-3,-8
"33",6,-3,3,-5,-7,-2,-6,5,-3,-6
"34",3,-3,2,-5,-6,-2,-9,3,-3,-7
"35",5,-6,-2,-6,-8,-2,-4,4,-3,-6
"36",8,-2,2,-3,-8,1,-8,4,-4,-8
"37",5,-3,3,-5,-6,2,-5,4,-3,-6
"38",4,-2,2,-6,-5,-3,-8,5,-3,-8
"39",2,-4,2,-7,-4,1,-5,4,-2,-7
"40",3,-3,1,-3,-7,-2,-7,4,-2,-9
"41",4,-3,1,-4,-9,2,-4,4,-3,-5
"42",6,-4,-2,-5,-9,-2,-8,4,-3,-8
"43",5,-3,3,-6,-7,-2,-9,5,-3,-7
"44",9,-3,5,-7,-8,-3,-3,4,-3,-9
"45",6,-4,3,-6,-8,-3,-6,4,-3,-7
"46",1,-4,1,-6,-7,-2,-4,4,-3,-6
"47",2,-3,2,-6,-6,1,-5,4,-3,-8
"48",3,-3,4,-4,-6,-4,-9,3,-2,-8
"49",1,-4,1,-8,-9,-6,-7,4,-3,-8
"50",3,-5,2,-2,-7,-2,-9,3,-3,-8
"51",4,-3,3,-5,-8,-3,-9,5,-3,-8
"52",4,-3,3,-2,-9,-2,-9,4,-3,-6
"53",6,-3,4,-7,-6,-2,-6,4,-3,-7
"54",7,-4,1,-6,-8,-3,-7,4,-2,-9
"55",5,-3,3,-6,-5,-2,-5,4,-3,-6
"56",7,-2,3,-4,-7,-3,-7,5,-3,-8
"57",3,-3,3,-5,-8,-3,-5,4,-3,-7
"58",5,-4,1,-5,-4,1,-6,4,-3,-5
"59",4,-4,5,-4,-8,-2,-8,4,-3,-8
"60",6,-4,5,-4,-4,-2,-3,4,-2,-6
"61",3,-2,3,-3,-3,-2,-5,4,-3,-6
"62",9,-3,2,-7,-5,2,-9,4,-2,-5
"63",7,-3,5,-4,-6,-2,-9,4,-3,-8
"64",3,-5,2,-7,-7,-2,-6,4,-3,-6
"65",8,-4,2,-5,-6,-2,-8,4,-3,-8
"66",5,-3,1,-3,-9,-3,-5,4,-3,-8
"67",4,-2,3,-6,-7,-4,-4,4,-3,-7
"68",8,-3,2,-4,-7,-2,-5,4,-3,-8
"69",7,-2,3,-7,-8,-2,-4,4,-3,-6
"70",4,-2,5,-4,-6,-3,-6,4,-3,-5
"71",5,-3,3,-4,-9,1,-6,4,-3,-7
"72",5,-2,2,-3,-9,-2,-9,4,-3,-8
"73",4,-4,-2,-5,-7,1,-6,4,-3,-8
"74",6,-3,6,-4,-9,2,-8,3,-3,-6
"75",5,-2,1,-5,-6,-2,-9,4,-3,-8
"76",7,-3,1,-5,-5,-3,-5,4,-3,-7
"77",5,-3,1,-5,-7,2,-7,3,-4,-7
"78",4,-3,-2,-4,-8,-2,-9,4,-3,-7
"79",6,-4,2,-4,-4,-2,-6,4,-3,-7
"80",5,-3,4,-4,-8,-2,-6,4,-2,-7
"81",3,-4,2,-6,-4,1,-9,4,-3,-7
"82",5,-3,1,-7,-9,3,-6,5,-4,-8
"83",4,-3,5,-3,-5,-2,-6,5,-3,-7
"84",3,-5,2,-2,-9,-3,-6,4,-3,-7
"85",7,-3,5,-4,-4,-3,-7,4,-3,-5
"86",6,-3,3,-7,-7,-2,-5,4,-3,-8
"87",4,-4,5,-5,-7,2,-9,4,-3,-6
"88",5,-3,3,-5,-7,1,-5,5,-3,-7
"89",5,-3,2,-3,-9,-3,-7,4,-3,-7
"90",4,-3,2,-6,-9,-2,-8,4,-3,-8
"91",3,-2,-3,-6,-6,2,-7,4,-3,-8
"92",5,-2,1,-5,-8,-2,-6,4,-3,-8
"93",4,-3,5,-7,-5,-3,-7,4,-3,-7
"94",2,-3,3,-7,-6,1,-9,4,-2,-7
"95",2,-3,1,-5,-6,-2,-9,4,-3,-6
"96",7,-3,2,-3,-4,1,-7,4,-4,-7
"97",4,-2,4,-6,-6,1,-5,4,-4,-8
"98",6,-4,3,-2,-7,-2,-6,4,-3,-7
"99",7,-3,2,-7,-5,2,-5,4,-3,-7
"100",3,-3,2,-4,-5,1,-6,4,-3,-7
"101",3,-4,2,-3,-7,-2,-9,4,-3,-5
"102",4,-4,2,-6,-7,-3,-2,5,-3,-8
"103",4,-3,1,-5,-6,-3,-8,4,-3,-9
"104",6,-3,4,-3,-7,-2,-7,5,-3,-6
"105",2,-2,2,-3,-8,1,-7,4,-3,-7
"106",1,-2,5,-3,-4,-3,-4,4,-3,-5
"107",7,-3,1,-5,-6,-3,-9,4,-3,-7
"108",7,-3,2,-4,-6,-2,-4,4,-3,-6
"109",6,-3,5,-4,-8,-3,-4,4,-3,-7
"110",5,-3,3,-6,-7,-4,-8,4,-4,-9
"111",3,-3,2,-7,-6,1,-7,4,-3,-8
"112",8,-5,4,-7,-6,-2,-9,4,-4,-7
"113",7,-4,2,-4,-4,2,-6,4,-4,-8
"114",6,-3,3,-3,-4,-3,-6,4,-4,-7
"115",6,-3,1,-3,-9,-2,-8,5,-3,-8
"116",6,-2,3,-3,-9,-2,-6,4,-3,-7
"117",5,-3,2,-4,-2,-3,-7,4,-4,-5
"118",4,-4,3,-4,-8,-3,-5,4,-3,-5
"119",3,-2,3,-5,-7,-2,-9,4,-3,-8
"120",8,-5,1,-6,-7,2,-8,5,-4,-6
"121",4,-4,4,-5,-9,-3,-6,4,-3,-8
"122",6,-3,-2,-6,-3,2,-8,4,-3,-5
"123",3,-3,5,-5,-3,1,-4,4,-3,-6
"124",3,-3,2,-4,-7,-2,-3,4,-3,-7
"125",7,-4,1,-4,-5,-4,-8,4,-3,-7
"126",6,-2,4,-7,-9,-3,-9,4,-3,-8
"127",2,-3,2,-4,-7,1,-9,4,-3,-7
"128",1,-2,-2,-4,-6,-3,-4,4,-4,-9
"129",4,-2,1,-4,-7,-2,-3,4,-3,-8
"130",7,-2,3,-6,-8,1,-8,3,-3,-7
"131",2,-2,5,-4,-8,-2,-5,4,-3,-9
"132",3,-3,2,-8,-4,-3,-6,3,-3,-7
"133",3,-3,4,-8,-4,-3,-4,4,-2,-9
"134",2,-3,1,-7,-4,-2,-3,4,-3,-8
"135",8,-4,3,-5,-9,1,-5,4,-4,-7
"136",3,-4,2,-4,-7,1,-5,5,-3,-6
"137",8,-4,2,-4,-7,-2,-7,4,-3,-7
"138",5,-3,1,-6,-6,-2,-6,4,-4,-6
"139",7,-2,1,-6,-6,-2,-8,4,-2,-5
"140",3,-3,2,-7,-9,1,-8,4,-3,-6
"141",5,-3,4,-2,-8,-2,-9,5,-3,-7
"142",5,-3,6,-6,-8,2,-6,4,-3,-7
"143",6,-2,1,-6,-7,1,-9,4,-3,-7
"144",7,-3,2,-2,-6,-3,-5,4,-3,-7
"145",7,-3,1,-7,-9,-2,-8,4,-3,-8
"146",8,-3,4,-4,-6,-2,-4,3,-3,-7
"147",5,-5,1,-5,-7,-2,-7,4,-3,-9
"148",1,-3,2,-3,-5,-2,-6,4,-3,-7
"149",4,-2,3,-2,-8,1,-9,3,-3,-9
"150",5,-2,3,-4,-7,-2,-8,4,-3,-6
"151",7,-4,5,-5,-6,-4,-7,4,-3,-8
"152",4,-4,2,-5,-6,-2,-5,3,-3,-8
"153",7,-3,4,-4,-6,3,-7,4,-3,-8
"154",6,-3,2,-5,-5,-3,-6,4,-3,-8
"155",3,-2,2,-5,-6,1,-9,4,-2,-8
"156",7,-4,2,-5,-5,2,-7,4,-3,-7
"157",5,-2,-2,-6,-5,1,-7,4,-4,-6
"158",5,-5,3,-5,-9,1,-8,4,-3,-8
"159",5,-4,5,-8,-5,-4,-5,4,-3,-7
"160",3,-4,4,-2,-5,-2,-6,4,-3,-7
"161",2,-4,4,-9,-6,1,-8,4,-3,-8
"162",6,-4,2,-3,-5,1,-9,5,-3,-7
"163",3,-3,2,-5,-7,-2,-7,4,-2,-7
"164",5,-5,2,-5,-9,1,-8,4,-3,-8
"165",6,-4,3,-6,-7,-2,-4,4,-2,-8
"166",5,-4,3,-6,-4,-2,-8,4,-2,-7
"167",6,-4,4,-7,-7,-2,-6,4,-3,-7
"168",4,-2,3,-4,-7,-2,-7,5,-3,-8
"169",5,-3,1,-4,-9,-3,-4,4,-3,-7
"170",5,-3,4,-6,-7,1,-7,4,-4,-7
"171",7,-3,1,-4,-6,-2,-6,4,-2,-5
"172",6,-3,2,-5,-8,-3,-5,5,-3,-7
"173",6,-2,7,-4,-8,-4,-6,4,-3,-6
"174",6,-3,2,-5,-8,-4,-8,4,-3,-7
"175",6,-2,2,-3,-7,-2,-8,4,-3,-4
"176",5,-5,1,-5,-7,-2,-6,4,-3,-6
"177",8,-3,2,-7,-6,1,-6,4,-3,-8
"178",3,-3,2,-7,-6,3,-7,4,-3,-6
"179",7,-3,1,-3,-5,1,-6,5,-2,-8
"180",7,-2,1,-2,-7,-5,-2,4,-3,-8
"181",2,-4,3,-6,-8,1,-7,4,-3,-8
"182",8,-4,-2,-6,-7,-2,-4,4,-3,-7
"183",4,-3,1,-4,-8,1,-7,4,-2,-7
"184",4,-3,1,-5,-9,-2,-6,4,-3,-7
"185",7,-4,2,-6,-8,-3,-9,3,-3,-7
"186",7,-2,1,-5,-6,-3,-6,4,-3,-7
"187",2,-3,7,-4,-9,1,-6,4,-3,-8
"188",7,-5,7,-6,-7,1,-5,4,-3,-8
"189",5,-3,3,-4,-6,-2,-7,4,-3,-8
"190",4,-3,4,-5,-9,2,-8,4,-3,-8
"191",5,-2,3,-7,-5,1,-6,4,-3,-8
"192",7,-4,5,-4,-7,-3,-4,4,-3,-9
"193",5,-4,3,-6,-9,-2,-6,4,-4,-7
"194",5,-3,-4,-5,-9,-2,-8,4,-3,-8
"195",5,-2,4,-6,-7,2,-7,4,-3,-9
"196",5,-4,1,-4,-7,-3,-8,4,-3,-7
"197",6,-5,1,-4,-8,-2,-8,4,-2,-7
"198",5,-2,3,-5,-7,-2,-7,4,-3,-7
"199",7,-4,2,-7,-8,-4,-5,4,-2,-7
"200",7,-3,3,-5,-7,1,-8,4,-3,-9
